LPI.common.name,GBIF.common.name,species,downloader,data.available,geographic.range,hab_spec,IUCN,hab_spec_notes
Harbour seal,Harbour seal,Phoca vitulina,Claudia,Yes,partWorld,5,LC,"Harbor Seals live mostly in the coastal waters of the continental shelf and slope, and are commonly found in bays, rivers, estuaries, and intertidal areas. They also occur in some lakes (Burns 2009).Œæ"
Hen harrier,Hen harrier,Circus cyaneus,Claudia,Yes,World,8,NT," open country with some grass or shrub cover, especially grassland, steppe, meadows, moorland, scrub and cultivation and it is also found in wetlands and young conifer plantations. In the winter it becomes more widespread, for example occurring over ploughed land"
Herring gull,Herring gull,Larus argentatus,Claudia,Yes,partWorld,12,LC,"The species inhabits coastal and near-coastal areas (del Hoyo et al. 1996) but may also forage inland on large lakes and reservoirs, fields and refuse dumps (del Hoyo et al. 1996). It has no specific breeding habitat (del Hoyo et al. 1996) but may show a preference for rocky shores with cliffs, outlying stacks or islets (del Hoyo et al. 1996, Snow and Perrins 1998), otherwise nesting on rocky and grassy islands, sandy beaches (del Hoyo et al.1996), dunes (Richards 1990), gravel bars, saltmarshes, rocky outcrops, buildings, claypits (del Hoyo et al. 1996), tundra with reeds or hummocks (Flint et al. 1984), swampy lowlands near lakes and on river islands (Flint et al.1984). "
Hobby,Hobby,Falco subbuteo,Claudia,Yes,partWorld,1,LC,open wooded areas
House sparrow,House sparrow,Passer domesticus,Claudia,Yes,partWorld,7,LC,"forest, shrubland, grassland, wetland, agricultural land, plantations, rural gardens, urban areas"
Jay / Eurasian jay,Jay / Eurasian jay,Garrulus glandarius,Claudia,Yes,Europe,5,LC,"woodlands and forests of all kinds, especially beech (Fagus) and hornbeam (Carpinus), although oak (Quercus) is preferred. It can also be found in parks, orchards and large gardens. Northern populations also occur in conifers and birch (Betula) forest"
John dory,John dory / Atlantic john dory,Zeus faber,John,yes,NA,2,DD,"In the Mediterranean, Z. faber abundance decreased with depth and increased with increasing temperature; abundance was greatest in shallow warmer waters (Maravelias et al. 2007). In the English Channel, the mean length of first maturity was estimated at 26 cm in males and 34.5 cm in females.Zeus faber occurs near the bottom"
Killer whale / Orca,Killer whale / Orca,Orcinus orca,Claudia,Yes,World,2,DD,any marine or estuarine habitat
Knot / Red knot,Knot / Red knot,Calidris canutus,Claudia,Yes,World,4,NT,"dry upland tundra including weathered sandstone ridges, upland areas with scattered willows Salix spp., Dryas spp. and poppy, moist marshy slopes and flats in foothills, well-drained slopes hummocked with Dryas spp.  Outside of the breeding season the species is strictly coastal, frequenting tidal mudflats or sandflats, sandy beaches of sheltered coasts, rocky shelves, bays, lagoons and harbours, occasionally also oceanic beaches and saltmarshes "
Lapwing / Northern lapwing,Lapwing / Northern lapwing,Vanellus vanellus,Claudia,Yes,Europe,8,NT," wet natural grasslands (Trolliet 2003), meadows and hay meadows (del Hoyo et al. 1996) with short swards (Hayman et al. 1986, Devereux et al. 2004) and patches of bare soil (Johnsgard 1981) at low altitudes (Hayman et al. 1986) (less than 1,000 m) (Snow and Perrins 1998). It will also breed on grassy moors, swampy heaths, bogs and arable fields (Johnsgard 1981, del Hoyo et al. 1996). The nest is a shallow scrape in short grass vegetation (del Hoyo et al. 1996). During the winter the species utilises large open pastures for roosting (del Hoyo et al. 1996) and forages on damp grassland, irrigated land (Urban et al. 1986), stubble and ploughed fields (del Hoyo et al. 1996), riverbanks, lake shores, fresh and saline marshes, drainage ditches, estuaries and mudflats (Africa) (Urban et al. 1986). "
Lesser black-backed gull,Lesser black-backed gull,Larus fuscus,Claudia,Yes,partWorld,7,LC,"The species breeds on coastal grassy slopes (flat and unbroken) (Richards 1990), sand-dunes (Richards 1990, Mitchell et al. 2004), cliffs (Richards 1990, del Hoyo et al. 1996, Mitchell et al. 2004), rocky offshore islands (del Hoyo et al. 1996, Mitchell et al. 2004), saltmarshes (Mitchell et al. 2004), and on inland habitats such as the margins of lakes (Richards 1990, Olsen and Larsson 2003), high moorland (Richards 1990, Mitchell et al. 2004), and islands in lakes and rivers (Olsen and Larsson 2003) ."
Lesser horseshoe bat,Lesser horseshoe bat,Rhinolophus hipposideros,Claudia,Yes,Europe,3,LC,"within and along the edges of broadleaf deciduous woodland, which represents its primary foraging habitat, but also in riparian vegetation, Mediterranean and sub-mediterranean shrubland"
Lesser spotted woodpecker,Lesser spotted woodpecker,Dryobates minor,Claudia,Yes,Europe,5,LC,"temperate and boreal deciduous woodland in lowlands. It prefers open forest with softwood deciduous trees in vicinity of lakes or rivers, as well as forest edge, parks, orchards and gardens"
Lesser weever,Lesser weever / Sting-fish,Echiichthys vipera,John,yes,NA,NA,NA,NA
Light-bellied brent goose / Dark-bellied brent goose,Light-bellied brent goose,Branta bernicla,Claudia,Yes,partWorld,2,LC,breeds in coastal Arctic tundra (del Hoyo et al. 1992) in or close to wet coastal meadows with abundant grassy vegetation (Kear 2005a) and on tundra-covered flats with tidal streams
Ling,Ling / Common ling / European ling,Molva molva,John,yes,NA,NA,NA,NA
Linnet / Eurasian linnet,Linnet / Eurasian linnet,Carduelis cannabina,Claudia,Yes ,Europe,17,LC," lowland open heaths and commons, moorlands and hills with scattered trees and light woodlands, open rocky hillsides, mountain slopes, alpine meadows and maquis or valleys with low shrubs. It is also found in woodland and forest clearings and edges, edges of cultivation, fallow fields, scrub and weed patches, plantations, orchards, vineyards, hedgerows, parks and large gardens. "
Little auk / Dovekie,Little auk / Dovekie,Alle alle,Claudia,Yes,partWorld,1,LC,"sea coasts, usually nesting in crevices in rock scree of maritime slopes and on coastal cliffs. "
Little egret,Little egret,Egretta garzetta,Claudia,Yes,partWorld,4,LC," fresh, brackish or saline wetlands (del Hoyo et al. 1992) and shows a preference for shallow waters (10-15 cm deep) in open, unvegetated sites where water levels and dissolved oxygen levels fluctuate daily, tidally or seasonally, and where fish are concentrated in pools or at the water's surface (Kushlan and Hancock 2005). Habitats frequented include the margins of shallow lakes, rivers, streams and pools, open swamps and marshes, flooded meadows"
Little grebe,Little grebe,Tachybaptus ruficollis,Claudia,Yes,Europe,8,LC," small and shallow wetlands (del Hoyo et al. 1992) usually less than 1 m deep (Fjeldsa 2004) with rich vegetation (floating, submerged and emergent) and high densities of aquatic invertebrates, generally avoiding waters with large predatory fish (Konter 2001). Suitable habitats include small lakes, ponds, the sheltered bays and vegetated shores (del Hoyo et al. 1992) of larger freshwater, alkaline or saline lakes (Brown et al. 1982) and reservoirs (del Hoyo et al. 1992), slow-flowing rivers (Konter 2001), canals (del Hoyo et al. 1992), flood-plain oxbows, coastal brackish lagoons (Brown et al. 1982), seasonally inundated areas, swamps (Fjeldsa 2004), gravel pits (Santoul and Mastrorillo 2004), sewage lagoons (Fjeldsa 2004) and rice-fields (Brown et al. 1982)."
Little tern,Little tern,Sternula albifrons,Lisa,yes,partWorld,8,LC,"barren or sparsely vegetated beaches, islands and spits of sand, shingle (del Hoyo et al. 1996), shell fragments, pebbles (Flint et al. 1984), rocks or coral fragments (del Hoyo et al. 1996) on seashores (Flint et al. 1984) or in estuaries, saltmarshes, saltpans, offshore coral reefs (del Hoyo et al. 1996), rivers, lakes (Flint et al. 1984, del Hoyo et al. 1996) and reservoirs (de Silva 1991). It may also nest on dry mudflats in grassy areas "
Long-finned pilot whale,Long-finned pilot whale,Globicephala melas,Lisa,yes,partWorld ,1,DD,continental shelf waters
Long-tailed duck,Long-tailed duck,Clangula hyemalis,Lisa,yes,partWorld,5,VU,"The species breeds on marshy grass tundra in the high Arctic (Flint et al. 1984, del Hoyo et al. 1992), especially where habitat mosaics are formed by hummocks and ridges together with moist depressions (Snow and Perrins 1998), freshwater lakes (del Hoyo et al. 1992, Kear 2005b), bogs (del Hoyo et al. 1992), slow rivers (Madge and Burn 1988, del Hoyo et al. 1992) or pools of standing water (Snow and Perrins 1998). "
Long-tailed tit,Long-tailed tit,Aegithalos caudatus,Lisa,yes,partWorld,9,LC,"deciduous and mixed woodland with a well-developed shrub layer, especially willows (Salix) and favouring edge habitats. It is also found in riverine woodland, scrub heathland with scattered trees, bushes and hedges in farmland and well-wooded suburban parks, cemeteries and gardens. In the Mediterranean it also uses maquis and open pine (Pinus) forest. "
Lumpfish / Lumpsucker,Lumpfish / Lumpsucker,Cyclopterus lumpus,Lisa,yes,partWorld,1,NT,pelagic and usually occur in the top 50 m to 60 m of oceanic waters
Thornback ray,Maiden ray / Thornback ray,Raja clavata,John,yes,NA,5,NT,"demersal coastal species which inhabits a variety of substrates, including mud, sand, shingle, gravel and rocky areas, in water down to 300 m, although it is most abundant in 10-60 m of water off coastal areas (Wheeler 1969, Stehmann and Buerkel 1984). Rousset (1990a) studied the elasmobranch assemblage off the coast of Brittany and found that R. clavata was the most abundant rajid due to the fact that it was able to inhabit this range of benthic habitats. Thornback Skate is the second most important species, after the Smallspotted Catshark (Scyliorhinus canicula), in the demersal elasmobranch assemblage in the northern Bristol Channel and constitutes between 7.4-8.8% of the elasmobranch biomass (Ellis unpubl."
Mallard / Common mallard,Mallard / Common mallard,Anas platyrhynchos,Lisa,yes,World,15,LC,"freshwater habitats (Madge and Burn 1988) although it may frequent shallow brackish waters as long as they provide the cover (del Hoyo et al. 1992, Scott and Rose 1996) of submerged, floating, emergent or riparian vegetation, dense reedbeds or overhanging branches (Snow and Perrins 1998). Habitats commonly frequented include flooded swampy woodlands, seasonal floodlands (Snow and Perrins 1998), wet grassy swamps and meadows, oxbow lakes (Flint et al. 1984), open waters with mudflats, banks or spits, irrigation networks, reservoirs, ornamental waters (del Hoyo et al. 1992, Scott and Rose 1996, Snow and Perrins 1998), canals and sewage farms (Snow and Perrins 1998). During the winter the species may also be found in saline habitats"
Manx shearwater,Manx shearwater,Puffinus puffinus,Lisa,yes,partWorld,1,LC," found on waters over the continental shelf, feeding mainly on small shoaling fish but also on some squid, crustaceans and offal. Prey is caught mainly by pursuit-plunging and pursuit-diving, either alone or in small flocks. Breeding starts in March, forming colonies on coastal or offshore islands"
Marsh tit,Marsh tit,Parus palustris,Lisa,yes,partWorld,7,LC," deciduous woodland and forest with a relatively high proportion of dead or rotting trees and open undergrowth. It is often found in large areas of oak (Quercus) and beech (Fagus), also mixed forest, riverine alder (Alnus) carr, and forests of poplar (Populus), birch (Betula), willow (Salix) and bird cherry (Prunus padus) and is also occasionally seen in wooded edges of cultivation, orchards, parks and large gardens."
Meadow pipit,Meadow pipit,Anthus pratensis,Lisa,yes,partWorld,11,NT,"ide range of open habitats, such as tundra, moorland and heathland, bogs, saltmarshes, dunes, coastal meadows, hillsides, forest clearings, fallow land and occasionally in arable land. In the winter it is also found along seashores"
Mediterranean gull,Mediterranean gull,Larus melanocephalus,Lisa,yes,partWorld,7,LC,"breeds on the Mediterranean coast at lagoons (del Hoyo et al. 1996), estuaries (del Hoyo et al. 1996, Snow and Perrins 1998) and sometimes coastal saltmarsh (del Hoyo et al. 1996), often also breeding inland on large steppe lakes and marshes in open lowland areas (del Hoyo et al. 1996, Snow and Perrins 1998). It nests near water on flood-lands, fields and grasslands "
Megrim,Megrim / Flounder / Whiff,Lepidorhombus whiffiagonis,John,yes,NA,NA,NA,NA
Merlin,Merlin,Falco columbarius,Lisa,yes,partWorld,NA,LC,NA
Mew gull,Mew gull,Larus canus,Lisa,yes,partWorld,11,LC,"breeds along the coast (Richards 1990, del Hoyo et al. 1996, Snow and Perrins 1998) and inland (Flint et al. 1984, Richards 1990, del Hoyo et al. 1996, Snow and Perrins 1998) in a variety of sites not necessarily close to wetlands (del Hoyo et al. 1996). On the coast it nests on grassy and rocky cliff-ledges (del Hoyo et al. 1996, Snow and Perrins 1998), grassy slopes (Richards 1990, Snow and Perrins 1998), inshore rocky islets, islands and stacks (Richards 1990, del Hoyo et al. 1996, Snow and Perrins 1998), and on sand and shingle beaches, banks and dunes (del Hoyo et al. 1996, Snow and Perrins 1998) amongst tide-wrack or flood debris (Snow and Perrins 1998). Inland the species nests on small islands in freshwater and saline lakes (Flint et al. 1984), shingle bars or small islets in streams or rivers (Richards 1990), islets, artificial structures and shores of artificial waterbodies with short, sparse vegetation (Skorka et al. 2006), and on bogs (del Hoyo et al. 1996, Snow and Perrins 1998), marshes (del Hoyo et al. 1996), meadows (del Hoyo et al. 1996) and grass or heather moorland near small pools "
Minke whale,Minke whale,Balaenoptera acutorostrata,Lisa,yes,World,2,LC, coastal and offshore waters
Mistle thrush,Mistle thrush,Turdus viscivorus,Lisa,yes,partWorld,9,LC,"open mature forest, woodland glades, orchards, riverside forest, open grassland with scrub and mountain steppe with shrubs; often penetrating grassy-bracken moorland areas on low craggy hills and mountains at some distance from trees. It is most typically found, in rolling, open landscapes with scattered trees or copses, including parkland and park-like farmland"
Mute swan,Mute swan,Cygnus olor,Lisa,yes,partWorld,12,LC," a variety of lowland freshwater wetlands (del Hoyo et al. 1992) such as shallow lakes (Kear 2005a), ponds (Madge and Burn 1988), lagoons, marshes (del Hoyo et al. 1992), reedbeds (del Hoyo et al. 1992, Snow and Perrins 1998) and slow-flowing rivers (Kear 2005a) (showing a preference for clean, weed-filled streams over larger, polluted rivers) (Johnsgard 1978). It is also common on artificial waterbodies such as reservoirs, gravel-pits, ornamental lakes (del Hoyo et al. 1992), ditches (Snow and Perrins 1998) and canals (Scott and Rose 1996), and will graze on grassland and agricultural land "
Natterer's bat,Natterer's bat,Myotis nattereri,Lisa,yes,partWorld,6,LC,"woodland (including Mediterranean pine and oak forest: Amr 2000), shrubland and parkland, sometimes over water, pasture, and road verges"
Natterjack toad,Natterjack toad,Epidalea calamita,Lisa,yes,Europe,9,LC,"f coastal dunes, lowland heaths, semi-desert, high mountains, pine forest glades, gardens, parks, agricultural fields, sand and gravel quarries and meadows. "
Nilsson's pipefish,Nilsson's pipefish,Syngnathus rostellatus,Lisa,yes,Europe,2,LC,along sandy shores among seaweeds and seagrasses to 15 m depths (Dawson 1986). It migrates in and out of estuaries seasonally 
Noctule bat,Noctule bat,Nyctalus noctula,Lisa,yes,partWorld,3,VU,mixed and deciduous forest and wooded river valleys
Northern gannet,Northern gannet,Morus bassanus,Lisa,yes,partWorld,2,LC,"over continental selves, breeds on cliffs and offshore islands"
Northern goshawk,Northern goshawk,Accipiter gentilis,Lisa,yes,partWorld,3,LC,"mature woodland, preferring areas near clearings and the forest edge"
Northern shoveler,Northern shoveler,Anas clypeata,Lisa,yes,World,15,LC,"well-vegetated lakes and marshes and with muddy shores and substrates in open country (Madge and Burn 1988, del Hoyo et al. 1992, Kear 2005b) (e.g. grasslands) (Johnsgard 1978, Brown et al. 1982), as well as oxbow lakes, channels and swamps (former U.S.S.R.) (Flint et al. 1984). It also frequents artificial waters bordered by lush grassland (Snow and Perrins 1998) such as sewage farms, rice-fields (Kear 2005b) and fish ponds (Musil 2006). In the winter it can be found on coastal brackish lagoons (Madge and Burn 1988, del Hoyo et al. 1992, Kear 2005b), tidal muflats (del Hoyo et al. 1992, Kear 2005b), estuaries (Madge and Burn 1988), coastal shorelines, fresh and brackish estuarine marshes (Johnsgard 1978), inland seas and brackish or saline inland waters "
Northern wheatear,Northern wheatear,Oenanthe oenanthe,Lisa,yes,partWorld,11,LC,"open stony estuarine plains with sparse clumps of vegetation; sand dunes; shingle stretches; clifftops; coastal islands; heavily grazed heathland and downland; moors; meadows; walled fields; stone-studded bogs; open submontane shrubland; rocky alpine meadows; streamside bluffs, and lowland and montane tundra above the tree-line"
Norway pout,Norway pout,Trisopterus esmarkii,Lisa,yes,Europe,2,LC,"benthopelagic to pelagic species which is typically found over muddy bottoms at depths of 50 to 300 meters, but more commonly between 100 and 200 meters. "
Norwegian topknot,Norwegian topknot,Phrynorhombus norvegicus,John,yes,NA,2,LC,"is a benthic flatfish found on rocky bottoms at depths ranging from 11 to 85 m in the Celtic Sea and on soft, muddy bottoms at depths between 8 and 166 m in the Bay of Biscay¥Ë_"
Nutria / Coypu,Nutria / Coypu,Myocastor coypus,Lisa,yes,partWorld,2,LC,"habitats near water, and is rarely observed more than 100 m away from rivers"
Osprey,Osprey,Pandion haliaetus,Lisa,yes,World,3,LC,"areas around shallow waters, being sufficiently tolerant of human settlement to persist in suburban and sometimes urban environments "
Small-eyed ray / Painted ray,Owl ray / Painted ray / Small-eyed ray,Raja microocellata,John,yes,NA,2,NT,"Juveniles tend to occur in relatively shallow water, with larger individuals more abundant further from shore, though it is uncommon in waters more than 100m deep (Ellis et al. 2005a)."
Peregrine falcon,Peregrine falcon,Falco peregrinus,Lisa,yes,World,NA,LC,"inhabits an extreme variety of habitats, tolerating wet and dry, hot and cool climates, from sea level up to c.4,000 m "
Pike / Northern pike,Pike / Northern pike,Esox lucius,Lisa,yes,partWorld,5,LC,"clear small lakes, shallow vegetated areas of larger lakes, marshes, creeks, and small to large rivers."
Pink-footed goose,Pink-footed goose,Anser brachyrhynchus,Lisa,no_download,partWorld,NA,NA,NA
Plaice,Plaice,Pleuronectes platessa,Lisa,yes,partWorld,3,LC," Found in sea water and in estuaries, rarely entering freshwaters."
Pogge,Pogge,Agonus cataphractus,Lisa,yes,Europe,2,LC,"coastal species that is found over soft substrates, seasonal migration to estuaries"
Pollock / Saithe,Pollock / Billet / Coal-fish,Pollachius virens,John,yes,NA,NA,NA,NA
Poor cod,Poor cod,Trisopterus minutus,Ashleigh,yes,Europe,1,LC,over sand and mud habitats at depths of up to 450 m
Pouting,Pouting,Trisopterus luscus,Ashleigh,yes,Europe,2,DD,"outer shelf, but moves inshore to depths of 50 m or less for spawning"
Purple sandpiper,Purple sandpiper,Calidris maritima,Ashleigh,yes,partWorld,8,LC,"breeds on Arctic coasts (Hayman et al. 1986) and in upland areas (Johnsgard 1981, Flint et al. 1984, Hayman et al. 1986); nesting close to the fringes of snow and ice (del Hoyo et al. 1996) on wet moss or barren rocky tundra with patches of lichen and Dryas spp., on rocky islands and islets or on shingle beaches; in the winter ridal rocky shores, artificial structures, mudflats, coastal lagoons"
Razorbill,Razorbill,Alca torda,Ashleigh,yes,partWorld,1,NT, rocky sea coasts
Red deer / Elk,Red deer / Elk,Cervus elaphus,Ashleigh,yes,World,9,LC,"open deciduous woodland, mixed deciduous-coniferous and coniferous woodland, upland moors and open mountainous areas (sometimes above the treeline), Mediterranean maquis scrub, natural grasslands, pastures and meadows "
Red fox,Red fox,Vulpes vulpes,Ashleigh,yes,World,8,LC,"tundra, desert (though not extreme deserts) and forest, as well as in city centres (including London, Paris, Stockholm, etc.). Natural habitat is dry, mixed landscape, with abundant ""edge"" of scrub and woodland. They are also abundant on moorlands, mountains (even above the treeline, known to cross alpine passes), sand dunes and farmland"
Red gurnard,Red gurnard / East Atlantic red gurnard,Chelidonichthys cuculus,John,yes,NA,NA,NA,NA
Red kite,Red kite,Milvus milvus,Ashleigh,yes,partWorld,9,NT,"broadleaf woodlands and forests, mixed with farmland, pasture and heathland, to 2,500 m in Morocco (del Hoyo et al. 1994). In winter it also occupies wasteland, scrub and wetlands. Formerly an urban scavenger, it still visits the edges of towns and cities"
Red-breasted merganser,Red-breasted merganser,Mergus serrator,Ashleigh,yes,World,8,LC," wooded shorelines sheltered shallow bays, inlets, straits or estuaries The majority of the species winters at sea inshore and offshore waters, estuaries, bays and brackish lagoons "
Red-crested pochard,Red-crested pochard,Netta rufina,John,yes,NA,7,LC,"The species inhabits inland deep fresh or brackish (del Hoyo et al. 1992) reed-fringed lakes, rivers, or saline and alkaline lagoons (Kear2005b) in open country (del Hoyo et al. 1992), also occurring (less often) on estuaries, river deltas and other sheltered coastal habitats (del Hoyo et al. 1992) on passage (Madge and Burn 1988) or during the winter (Scott and Rose 1996)"
Red-legged partridge,Red-legged partridge,Alectoris rufa,Ashleigh,yes,World,5,LC," open habitats dry hilly land with scattered bushes up to about 1,300 m (occasionally up to 2,000 m) in montane foothills, inhospitable dry terrain on lower mountain slopes and marginal cultivation, cropland, orchards or woodland "
Red-necked phalarope,Red-necked phalarope,Phalaropus lobatus,Ashleigh,yes,World,13,LC," lakes, pools (del Hoyo et al. 1996), ponds, lagoons, streams or other permanent water-bodies (Johnsgard 1981) with marshy margins overgrown with grass, sedge or moss (Johnsgard 1981, del Hoyo et al. 1996) in freshwater marshes and bogs (Hayman et al. 1986). It may also frequent coastal moorland, flood-plains and islets in large rivers, and in Iceland it commonly nests on sparsely vegetated lava deserts (del Hoyo et al. 1996). Non-breeding On passage the species frequents inland saline and hypersaline lakes (del Hoyo et al. 1996) as well as reservoirs, sewage-ponds and coastal marshes"
Red-throated loon,Red-throated loon,Gavia stellata,Ashleigh,yes,World,7,LC," pools or lakes in open moorland, blanket bogs (del Hoyo et al. 1992) or open and wet peatland habitats  Outside of the breeding season the species frequents inshore waters along sheltered coasts, occasionally occurring inland (del Hoyo et al. 1992) on lakes, pools, reservoirs and rivers "
Redshank / Common redshank,Redshank / Common redshank,Tringa totanus,Ashleigh,yes,World,14,LC,"coastal saltmarshes, inland wet grasslands with short swards (del Hoyo et al. 1996) (including cultivated meadows) (Johnsgard 1981), grassy marshes, swampy heathlands (del Hoyo et al. 1996) and swampy moors (Johnsgard 1981). Non-breeding On passage the species may frequent inland flooded grasslands (del Hoyo et al. 1996) and the silty shores of rivers and lakes (Flint et al. 1984), but during the winter it is largely coastal (del Hoyo et al. 1996), occupying rocky, muddy and sandy beaches, saltmarshes, tidal mudflats, saline and freshwater coastal lagoons (del Hoyo et al. 1996), tidal estuaries (Johnsgard 1981), saltworks and sewage farms"
Reed bunting,Reed bunting,Emberiza schoeniclus,Ashleigh,yes,partWorld,8,LC,"fens, bogs, reed marshes, riversides and other inland waters. In Siberia it breeds in willow thickets in floodplains. In some regions the species has colonised drier habitats such as young woodland and farmland "
Reed warbler / Eurasian reed-warbler,Reed warbler / Eurasian reed-warbler,Acrocephalus scirpaceus,Ashleigh,yes,partWorld,9,LC,"beds of reed (Phragmites) on the shores of lakes and fish ponds, and along rivers and ditches and locally, breeds in willow bushes in marshland, in reeds on edges of brackish lakes, exceptionally in corn fields. It also forages in adjacent herbaceous vegetation, scrub and low trees, such as willows (Salix). On the non-breeding grounds and on migration it uses reeds, thickets and tall grass, often along river courses and near lakeshores but also away from water in secondary bush, acacia (Acacia) and Lantana scrub, forest edge and garden hedges. I"
Ring ouzel,Ring ouzel,Turdus torquatus,Ashleigh,yes,partWorld,7,LC,"mountain steppe with conifers, including wet spruce (Picea) and spruce-fir woodland (P. abies-Abies alba). In central Europe it also uses conifer-beech (Fagus), extending into bushy scrub with Rhododendron hirsutum and Pinus mugo in alpine regions, dry rugged upland slopes, heath and heather moorland with bracken, stones and grass patches, subalpine meadows"
Ring-necked pheasant / Common pheasant,Ring-necked pheasant / Common pheasant,Phasianus colchicus,Ashleigh,yes,World,3,LC," overgrown edges of rivers, hilly areas close to cultivation and flat land which is under cultivation"
Robin / European robin,Robin / European robin,Erithacus rubecula,Ashleigh,yes,partWorld,9,LC,"forest undergrowth and edge, preferring conifer tracts in some parts of its range and deciduous woodland in others. It uses copses and adjacent open land, farmland woodlots, thickets along watercourses, hedgerows with some tall trees, orchards, gardens and parks and is also found in urban areas"
Rook,Rook,Corvus frugilegus,Ashleigh,yes,partWorld,8,LC,"agricultural land, wooded steppe and riverine plains with fragmented woodland or stands of trees. It is also found in the fringes of cities, towns and villages with large trees (Madge and Burn 1993), and in city parks and churchyards (Madge 2009). In the winter it can also be found along the sea shore"
Roseate tern,Roseate tern,Sterna dougallii,Ashleigh,yes,World,5,LC,"sand-dunes, sand-spits, shingle beaches, reefs (Snow and Perrins 1998), saltmarshes and rocky, sandy or coral islands "
Ruddy duck,Ruddy duck,Oxyura jamaicensis,Ashleigh,yes,partWorld,5,LC," Freshwater swamps, lakes, pools, and marshes with emergent vegetation and open water are preferred breeding habitats, although outside the breeding season the species can also be found on larger lakes, brackish lagoons and estuaries"
Ruddy turnstone / Turnstone,Ruddy turnstone / Turnstone,Arenaria interpres,Ashleigh,yes,World,13,LC," coastal plains, marshes and tundra (del Hoyo et al. 1996) and showing a preference for mosaics of bare rock, clay or shingle and vegetation near water (Snow and Perrins 1998) or in areas that remain damp until late summer (Johnsgard 1981). Non-breeding Outside of the breeding season the species is mainly coastal (del Hoyo et al. 1996), although on migration it may occur inland along dykes or on lake shores (del Hoyo et al. 1996). During the winter it frequents productive rocky and shingle shores (Hayman et al. 1986, del Hoyo et al. 1996), breakwaters (del Hoyo et al. 1996), sandy beaches with storm-wracked seaweed (Hayman et al. 1986, del Hoyo et al. 1996), short-grass saltmarshes, sheltered inlets, estuaries, mangroves swamps, exposed reefs and mudflats with beds of molluscs"
Sand eel,Sand eel,Ammodytes marinus,Ashleigh,yes,partWorld,NA,NA,"confusion between Ammodytes tobianus and Ammodytes marinus, we need marinus, but IUCN doesn¥Ë_t have it and uses the common name for marinus for tobianus¥Ë_"
Sanderling,Sanderling,Calidris alba,Ashleigh,yes,World,10,LC," barren, stony tundra with well-drained ridges (Johnsgard 1981, del Hoyo et al. 1996), gentle slopes or level alluvial plains supporting scattered vegetation of willow Salix spp., Dryas spp. and saxifrage Saxifraga spp. usually less than 200 m above sea-level (Johnsgard 1981). Non-breeding On passage the species may occur on inland freshwater or saline lakes (del Hoyo et al. 1996) but it is largely coastal during the winter, inhabiting open sandy beaches exposed to the sea, the outer reaches of estuaries, rocky and muddy shores, mudflats (del Hoyo et al. 1996) and coral reefs"
Sandwich tern,Sandwich tern,Thalasseus sandvicensis,Ashleigh,yes,partWorld,8,LC," sandy islands, rocky calcareous islets, sand-spits, sand-dunes, shingle beaches and extensive deltas (Snow and Perrins 1998) with immediate access to clear waters with shallow sandy substrates rich in surface-level fish (Snow and Perrins 1998). It shows a preference for raised, open, unvegetated sand, gravel, mud or bare coral substrates for nesting (del Hoyo et al. 1996). Non-breeding Outside of the breeding season the species frequents sandy or rocky beaches, mudflats fringed by mangroves, estuaries, harbours and bays"
Scaldfish,Scaldfish,Arnoglossus laterna,John,yes,NA,2,LC,This is a benthic species that lives on sandy or muddy substrata from 10 to 400 m
Sea bass,Sea bass,Dicentrarchus labrax,Ashleigh,no_download,NA,NA,NA,NA
Sedge warbler,Sedge warbler,Acrocephalus schoenobaenus,Ashleigh,yes,partWorld,9,LC," low dense vegetation, often near water or in moist depressions, including shore vegetation around freshwater pools, along rivers and canals, and lowland swamps and marshes with reed and bush thickets. It can also breed in dry situations offering suitable cover, such as neglected orchards, hedgerows, nettlebeds, dense scrub, crop fields."
Serotine bat,Serotine bat,Eptesicus serotinus,Ashleigh,yes,partWorld,6,LC,"semi-desert, temperate and subtropical dry forest, Mediterranean-type shrubland, farmland and suburban areas. "
Short-beaked common dolphin,Short-beaked common dolphin,Delphinus delphis,Ashleigh,yes,World,3,LC,"upwelling-modified waters, areas with steep sea floor relief, and extensive shelf areas"
Short-eared owl,Short-eared owl,Asio flammeus,Ashleigh,yes,World,NA,LC,NA
Smooth newt,Smooth newt,Lissotriton vulgaris,Ashleigh,yes,Europe,8,LC,"deciduous, coniferous, mixed forests and dry forests and woodlands. This is an adaptable species also present in meadows, bushlands, parks, fruit gardens, many damp habitats and rural and urban areas."
Smooth snake,Smooth snake,Coronella austriaca,Ashleigh,yes,Europe,14,LC,"moorland, rocky coastlines, open woodland (deciduous, coniferous and mixed) and scrubland, hedgerows, woodland edges, heathland, sandy coastal sites, rocky areas, screes, subalpine and open areas with sparse vegetation"
Snipe / Common snipe,Snipe / Common snipe,Gallinago gallinago,Isla,yes,World,9,LC," open fresh or brackish marshland with rich or tussocky vegetation, grassy or marshy edges of lakes and rivers, wet hay fields, swampy meadows and marshy tundra, in forest tundra and extreme northern taiga zones."
Snow bunting,Snow bunting,Plectrophenax nivalis,Isla,yes,partWorld,8,LC," treeless, uncultivated barren rocky terrain, usually near snow. It also uses sea cliffs and commonly nests near or even in human settlements. Outside the breeding season it occupies open fields, shingle beaches, saltmarshes, sand dunes, and stubble fields. "
